index,age,status
0,29,0
1,17,1
2,23,0
3,33,1
4,21,0
5,33,0
6,23,1
7,19,1
8,17,0
9,31,0
10,21,0
11,19,1
12,22,1
13,26,0
14,24,0
15,32,1
16,30,0
17,17,
18,17,1
19,33,1
20,28,0
21,26,0
22,26,0
23,30,0
24,31,1
25,20,0
26,30,1
27,31,0
28,31,1
29,33,1
30,25,1
31,27,0
32,20,0
33,20,0
34,20,0
35,19,1
36,30,1
37,35,1
38,24,0
39,34,0
40,35,0
41,29,0
42,23,0
43,26,1
44,34,0
45,20,0
46,33,0
47,31,1
48,21,1
49,24,0
50,31,0
51,28,1
52,17,1
53,25,1
54,28,1
55,17,0
56,31,0
57,33,1
58,17,
59,33,0
60,26,1
61,30,0
62,28,1
63,27,0
64,22,0
65,34,0
66,24,0
67,23,1
68,22,0
69,31,1
70,24,0
71,25,1
72,33,1
73,30,1
74,22,1
75,27,0
76,29,1
77,31,1
78,22,
79,23,1
80,24,0
81,31,1
82,22,1
83,31,1
84,26,0
85,34,1
86,23,1
87,27,0
88,26,1
89,26,0
90,31,0
91,26,0
92,26,0
93,21,1
94,17,0
95,33,0
96,26,1
97,19,0
98,18,0
99,20,0
100,33,
